name,team,playingRole,battingStyle,bowlingStyle
Peter Handscomb,Australia,Batter,Other,Wicketkeeper
Alex Carey,Australia,Wicketkeeper Batter,Other,Wicketkeeper
Todd Murphy,Australia,Bowler,Right hand Bat,Right arm Offbreak
Scott Boland,Australia,Bowler,Right hand Bat,Right arm Fast medium
Rohit Sharma,India,Top order Batter,Right hand Bat,Right arm Offbreak
KL Rahul,India,Wicketkeeper Batter,Other,Wicketkeeper
Ravichandran Ashwin,India,Bowling Allrounder,Right hand Bat,Right arm Offbreak
Cheteshwar Pujara,India,Top order Batter,Other,Legbreak
Virat Kohli,India,Top order Batter,Right hand Bat,Right arm Medium
Suryakumar Yadav,India,Batter,Right hand Bat,"Right arm Medium, Right arm Offbreak"
Ravindra Jadeja,India,Allrounder,Left hand Bat,Slow Left arm Orthodox
Srikar Bharat,India,Wicketkeeper Batter,Other,Wicketkeeper
Axar Patel,India,Bowling Allrounder,Left hand Bat,Left hand Bat
Mohammed Shami,India,Bowler,Right hand Bat,Right arm Fast
Mohammed Siraj,India,Bowler,Right hand Bat,Right arm Fast
Milton Shumba,Zimbabwe,Top order Batter,Left hand Bat,Slow Left arm Orthodox
Donald Tiripano,Zimbabwe,Bowler,Right hand Bat,Right arm Fast medium
Tanaka Chivanga,Zimbabwe,Bowler,Right hand Bat,Right arm Fast
Shannon Gabriel,West Indies,Bowler,Right hand Bat,Right arm Fast
Zak Crawley,England,Top order Batter,Right hand Bat,Right arm Offbreak
Ben Duckett,England,Top order Batter,Right hand Bat,Right arm Offbreak
Ollie Pope,England,Middle order Batter,Other,Wicketkeeper
Joe Root,England,Top order Batter,Right hand Bat,"Right arm Offbreak, Legbreak"
Harry Brook,England,Batter,Right hand Bat,Right arm Medium
Ben Stokes,England,Allrounder,Right hand Bat,Right arm Fast medium
Ben Foakes,England,Wicketkeeper Batter,Other,Wicketkeeper
Stuart Broad,England,Bowler,Left hand Bat,Left hand Bat
Ollie Robinson,England,Bowler,Right hand Bat,Right arm Medium fast
Jack Leach,England,Bowler,Left hand Bat,Left hand Bat
Neil Wagner,New Zealand,Bowler,Left hand Bat,Left arm Medium fast
Scott Kuggeleijn,New Zealand,Bowling Allrounder,Right hand Bat,Right arm Fast medium
Blair Tickner,New Zealand,Bowler,Right hand Bat,Right arm Medium fast
James Anderson,England,Bowler,Left hand Bat,Left hand Bat
Matthew Kuhnemann,Australia,Bowler,Left hand Bat,Slow Left arm Orthodox
Shreyas Iyer,India,Top order Batter,Right hand Bat,"Right arm Offbreak, Legbreak Googly"
Will Young,New Zealand,Top order Batter,Right hand Bat,Right arm Offbreak
Aiden Markram,South Africa,Opening Batter,Right hand Bat,Right arm Offbreak
Tony de Zorzi,South Africa,Top order Batter,Right hand Bat,Right arm Offbreak
Keegan Petersen,South Africa,Top order Batter,Other,Legbreak
Senuran Muthusamy,South Africa,Batting Allrounder,Left hand Bat,Left hand Bat
Gerald Coetzee,South Africa,Bowler,Right hand Bat,Right arm Fast
Shubman Gill,India,Opening Batter,Right hand Bat,Right arm Offbreak
Umesh Yadav,India,Bowler,Right hand Bat,Right arm Fast
Cameron Green,Australia,Batting Allrounder,Right hand Bat,Right arm Fast medium
Mitchell Starc,Australia,Bowler,Left hand Bat,Left arm Fast
Ryan Rickelton,South Africa,Wicketkeeper Batter,Other,Wicketkeeper
Wiaan Mulder,South Africa,Allrounder,Right hand Bat,Right hand Bat
Oshada Fernando,Sri Lanka,Top order Batter,Other,Legbreak
Dimuth Karunaratne,Sri Lanka,Opening Batter,Right hand Bat,Right arm Medium
Kusal Mendis,Sri Lanka,Wicketkeeper Batter,Other,Legbreak
Angelo Mathews,Sri Lanka,Allrounder,Right hand Bat,Right arm Medium
Dinesh Chandimal,Sri Lanka,Wicketkeeper Batter,Right hand Bat,Right arm Offbreak
Dhananjaya de Silva,Sri Lanka,Allrounder,Right hand Bat,Right arm Offbreak
Niroshan Dickwella,Sri Lanka,Wicketkeeper Batter,Left hand Bat,Left hand Bat
Kasun Rajitha,Sri Lanka,Bowler,Right hand Bat,Right arm Medium fast
Prabath Jayasuriya,Sri Lanka,Bowler,Left hand Bat,Slow Left arm Orthodox
Lahiru Kumara,Sri Lanka,Bowler,Right hand Bat,Right arm Fast
Asitha Fernando,Sri Lanka,Bowler,Right hand Bat,Right arm Medium fast
Nishan Madushka,Sri Lanka,Wicketkeeper Batter,Right hand Bat,Right hand Bat
Doug Bracewell,New Zealand,Bowler,Right hand Bat,Right arm Fast medium
James McCollum,Ireland,Opening Batter,Right hand Bat,Right arm Medium
Murray Commins,Ireland,Batter,Other,Batter
Andy Balbirnie,Ireland,Batter,Right hand Bat,Right arm Offbreak
Harry Tector,Ireland,Middle order Batter,Right hand Bat,Right arm Offbreak
Curtis Campher,Ireland,Allrounder,Right hand Bat,Right arm Medium fast
Peter Moor,Ireland,Wicketkeeper Batter,Right hand Bat,Right arm Offbreak
Lorcan Tucker,Ireland,Wicketkeeper Batter,Other,Wicketkeeper
Andy McBrine,Ireland,Bowling Allrounder,Left hand Bat,Left hand Bat
Mark Adair,Ireland,Bowling Allrounder,Right hand Bat,Right hand Bat
Graham Hume,Ireland,Bowler,Right hand Bat,Right arm Fast medium
Ben White,Ireland,Bowler,Other,Legbreak
Tamim Iqbal,Bangladesh,Opening Batter,Other,Opening Batter
Najmul Hossain Shanto,Bangladesh,Top order Batter,Right hand Bat,Right arm Offbreak
Mominul Haque,Bangladesh,Middle order Batter,Other,Showrab
Mushfiqur Rahim,Bangladesh,Wicketkeeper Batter,Other,Wicketkeeper
Shakib Al Hasan,Bangladesh,Allrounder,Left hand Bat,Left hand Bat
Litton Das,Bangladesh,Wicketkeeper Batter,Right hand Bat,Right arm Offbreak
Mehidy Hasan Miraz,Bangladesh,Allrounder,Right hand Bat,Right hand Bat
Taijul Islam,Bangladesh,Bowler,Left hand Bat,Slow Left arm Orthodox
Shoriful Islam,Bangladesh,Bowler,Left hand Bat,Left arm Medium fast
Ebadot Hossain,Bangladesh,Bowler,Right hand Bat,Right arm Fast medium
Khaled Ahmed,Bangladesh,Bowler,Right hand Bat,Right arm Medium
Sadeera Samarawickrama,Sri Lanka,Wicketkeeper Batter,Other,Wicketkeeper
George Dockrell,Ireland,Allrounder,Left hand Bat,Slow Left arm Orthodox
Vishwa Fernando,Sri Lanka,Bowler,Left hand Bat,Left arm Medium fast
Ramesh Mendis,Sri Lanka,Allrounder,Right hand Bat,Right arm Offbreak
Paul Stirling,Ireland,Batting Allrounder,Right hand Bat,Right arm Offbreak
Matthew Humphreys,Ireland,Bowler,Left hand Bat,Slow Left arm Orthodox
Fionn Hand,Ireland,Bowling Allrounder,Right hand Bat,Right arm Medium
Matthew Potts,England,Bowler,Right hand Bat,Right arm Fast medium
Josh Tongue,England,Bowler,Right hand Bat,Right arm Fast medium
Ajinkya Rahane,India,Top order Batter,Right hand Bat,Right arm Medium
Shardul Thakur,India,Bowler,Right hand Bat,Right arm Medium
Mahmudul Hasan Joy,Bangladesh,Top order Batter,Other,Top order Batter
Zakir Hasan,Bangladesh,Wicketkeeper Batter,Other,Wicketkeeper
Taskin Ahmed,Bangladesh,Bowler,Left hand Bat,Left hand Bat
Ibrahim Zadran,Afghanistan,Opening Batter,Right hand Bat,Right arm Medium fast
Abdul Malik,Afghanistan,Opening Batter,Right hand Bat,Right arm Offbreak
Rahmat Shah,Afghanistan,Allrounder,Other,Legbreak Googly
Hashmatullah Shahidi,Afghanistan,Top order Batter,Left hand Bat,Left hand Bat
Nasir Jamal,Afghanistan,Middle order Batter,Right hand Bat,"Right arm Offbreak, Legbreak Googly"
Afsar Zazai,Afghanistan,Wicketkeeper Batter,Other,Wicketkeeper
Karim Janat,Afghanistan,Bowling Allrounder,Right hand Bat,Right arm Medium
Amir Hamza,Afghanistan,Bowling Allrounder,Right hand Bat,Right hand Bat
Yamin Ahmadzai,Afghanistan,Bowler,Right hand Bat,Right hand Bat
Nijat Masood,Afghanistan,Bowler,Right hand Bat,Right arm Medium
Zahir Khan,Afghanistan,Bowler,Left hand Bat,Left arm Wrist spin
Jonny Bairstow,England,Wicketkeeper Batter,Right hand Bat,Right hand Bat
Moeen Ali,England,Batting Allrounder,Left hand Bat,Left hand Bat
